,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price,encoded category
2491,1888,4,1,Rural,1975,175117.59671057077,0
2492,2069,4,2,Urban,1967,217011.8926148755,2
2493,2695,4,1,Suburb,2002,287207.7136142593,1
2494,2486,2,1,Urban,1980,254692.41446892315,2
2495,1591,3,1,Suburb,2002,157065.90326247638,1
2496,2333,5,1,Urban,2006,323516.4801845898,2
2497,2109,4,1,Urban,1964,179193.84296339637,2
2498,1091,5,1,Suburb,1973,186543.4945579092,1
2499,2683,2,1,Suburb,2008,243126.3957158175,1
2500,1672,2,3,Rural,2014,94607.22726743668,0
2501,1713,5,3,Rural,1970,230572.41045671623,0
2502,1935,4,2,Suburb,1963,177735.21782262065,1
2503,2951,5,2,Suburb,2007,268385.0141738486,1
2504,1241,4,3,Rural,1978,193102.18188435576,0
2505,2888,4,3,Suburb,2016,233635.57473982903,1
2506,1001,2,3,Urban,2014,87541.82201015088,2
2507,1224,5,2,Urban,1974,189787.8712833668,2
2508,1800,2,1,Rural,1956,138309.07170658134,0
2509,2768,3,2,Urban,1962,233812.6754646036,2
2510,2996,2,1,Urban,1969,317204.9612894133,2
2511,2949,4,1,Rural,1958,288448.9986374477,0
2512,2952,5,2,Urban,1954,335983.8338774465,2
2513,1588,3,1,Rural,1977,153862.8005275998,0
2514,1115,3,2,Urban,1975,81925.848745764,2
2515,2689,3,3,Suburb,2019,318295.1545431799,1
2516,1917,3,3,Urban,1955,260499.3858852204,2
2517,2126,5,2,Rural,1978,208562.94161594767,0
2518,1193,4,2,Urban,2009,236465.8227182028,2
2519,2189,3,2,Rural,1959,318411.972406166,0
2520,1870,4,2,Rural,2010,337177.2217495301,0
2521,1089,2,1,Rural,1963,109978.42321020832,0
2522,2709,4,3,Urban,1970,296757.9203438376,2
2523,1121,3,2,Suburb,2004,113407.34739526136,1
2524,1142,2,2,Urban,2003,154684.2599836609,2
2525,1993,2,3,Suburb,1986,159939.58843904495,1
2526,1105,2,2,Rural,1995,113758.54783678878,0
2527,1886,3,3,Suburb,1996,253214.4977305105,1
2528,1427,4,3,Rural,1963,131338.8523140903,0
2529,2328,5,2,Rural,2013,250847.45970327736,0
2530,2895,4,1,Rural,1988,338446.13281628845,0
2531,2994,3,2,Urban,2006,312970.65951275185,2
2532,1316,3,1,Urban,1962,122839.20827624024,2
2533,2986,2,2,Urban,1979,350379.8723189816,2
2534,1634,4,1,Suburb,1957,185603.8295566521,1
2535,2925,3,3,Urban,1962,328750.4820054318,2
2536,1008,3,3,Rural,1985,90514.02811236608,0
2537,1773,5,2,Rural,2010,178547.44137124636,0
2538,2096,4,2,Urban,2005,273344.9917271983,2
2539,2382,2,1,Suburb,1975,324209.9521579989,1
2540,1222,2,1,Suburb,1958,109779.73557336848,1
2541,2439,2,1,Urban,1990,295026.16988558054,2
2542,1552,4,1,Rural,1964,206432.83618929665,0
2543,2393,3,1,Rural,1950,296682.25582337787,0
2544,1715,3,2,Urban,1950,190190.88921241,2
2545,2287,5,3,Rural,2011,310456.1576377979,0
2546,2863,5,1,Rural,1955,341675.4419366117,0
2547,2713,3,3,Urban,1950,275758.38625576824,2
2548,2883,3,3,Suburb,1968,292884.4443126812,1
2549,2341,4,2,Suburb,2015,379615.8577180531,1
2550,2107,5,1,Suburb,2021,279191.8835334183,1
2551,2341,2,1,Urban,1951,261927.02321199072,2
2552,1110,2,1,Urban,1965,111978.43298108912,2
2553,1250,2,1,Rural,1987,120798.56458059202,0
2554,1382,2,2,Suburb,2015,166040.75121706264,1
2555,1006,3,2,Rural,1951,73353.57373955782,0
2556,1458,3,1,Rural,1966,88268.08076633573,0
2557,2107,4,1,Urban,2001,268897.9837037878,2
2558,1207,2,3,Urban,2018,218288.3556581712,2
2559,1899,3,3,Rural,1996,291915.37458709755,0
2560,2413,3,1,Suburb,1982,291957.96235973696,1
2561,2337,3,1,Urban,2000,233617.2523565608,2
2562,1021,2,3,Suburb,1971,192388.9628436282,1
2563,1409,3,3,Urban,2013,245778.58847076003,2
2564,1894,5,1,Rural,2007,232071.03661808465,0
2565,1514,2,3,Rural,1975,233117.1585446888,0
2566,2150,2,2,Rural,1984,131793.83259303053,0
2567,1808,5,3,Rural,1951,234896.2660481647,0
2568,2723,4,1,Rural,1987,315332.8507096901,0
2569,1873,4,2,Rural,2017,186791.43418199584,0
2570,1013,2,2,Suburb,1993,100403.42946278442,1
2571,1970,2,3,Suburb,1999,268374.3191763203,1
2572,1977,2,1,Rural,2008,229186.65689182412,0
2573,2013,5,3,Urban,1974,269647.0213612505,2
2574,2035,3,3,Urban,1970,283216.088881844,2
2575,1086,5,3,Urban,2020,170203.91860498316,2
2576,2547,3,2,Rural,2007,294899.40751013265,0
2577,1908,3,3,Rural,1991,241716.4514698447,0
2578,2560,4,3,Urban,1999,216130.45248133256,2
2579,2324,5,3,Suburb,1993,315250.55211017,1
2580,2266,5,3,Suburb,2007,283198.40330690774,1
2581,1121,2,1,Suburb,1968,159578.48756461192,1
2582,2170,5,1,Urban,1962,245695.33812753236,2
2583,2590,3,1,Rural,1965,288740.9054944655,0
2584,1749,3,2,Urban,1973,251866.05546331324,2
2585,2379,5,1,Suburb,2001,186418.05010045247,1
2586,1684,4,3,Suburb,2006,79417.91467388047,1
2587,2927,4,3,Suburb,1983,375290.9115070746,1
2588,2756,2,1,Rural,1988,285621.14348845044,0
2589,2654,2,2,Rural,1953,181965.58133801867,0
2590,1308,3,2,Urban,1970,123920.48346331088,2
2591,1694,5,2,Rural,1981,220889.5646081667,0
2592,1287,3,3,Rural,2001,151588.75335067077,0
2593,1306,3,1,Suburb,1951,149323.8786515992,1
2594,2835,5,2,Urban,1983,338458.6768382403,2
2595,2617,3,3,Suburb,2008,247058.7695842893,1
2596,2989,3,2,Rural,1981,251120.0210275024,0
2597,1913,4,2,Urban,1996,260313.59470870497,2
2598,2746,2,1,Rural,1957,356528.5075165135,0
2599,1661,4,3,Rural,1972,199293.4710172947,0
2600,1548,2,2,Urban,1994,58109.072340997256,2
2601,2375,2,3,Urban,1997,248397.77999469612,2
2602,1311,2,2,Suburb,1964,88652.93653627794,1
2603,1872,4,1,Urban,1953,191605.17366947516,2
2604,2082,5,2,Suburb,1969,232649.07493686443,1
2605,2666,3,1,Suburb,2013,362104.94263150473,1
2606,1923,5,2,Urban,1998,259885.55579429376,2
2607,2737,5,1,Suburb,2011,180398.57979927404,1
2608,1754,2,2,Rural,1957,122978.59228383146,0
2609,1034,2,2,Urban,1983,176706.60500061972,2
2610,1444,4,2,Rural,2020,134511.9643791602,0
2611,1092,4,3,Rural,2011,157007.18048776285,0
2612,2973,3,3,Suburb,2020,289676.4750952332,1
2613,2982,5,2,Rural,1958,372958.4234039243,0
2614,2230,5,3,Suburb,2014,275099.0398690065,1
2615,1352,3,3,Rural,1960,201207.81788812936,0
2616,1902,2,2,Suburb,2020,114062.17192765088,1
2617,2355,4,2,Rural,2015,286501.4898829413,0
2618,2840,3,2,Suburb,2018,235415.60400205897,1
2619,1861,5,3,Suburb,1997,262950.7116090805,1
2620,2748,3,3,Urban,1980,405919.661143478,2
2621,1158,3,3,Suburb,1989,59109.44627790061,1
2622,2977,5,2,Suburb,1955,357918.0248939186,1
2623,1956,5,3,Urban,1951,162441.91955187614,2
2624,1023,4,3,Urban,2011,103133.42873583768,2
2625,1403,4,1,Suburb,2011,141174.40627125002,1
2626,1804,5,1,Suburb,2019,239387.73501669944,1
2627,1515,4,2,Rural,1964,226820.97793766492,0
2628,1731,4,2,Rural,2015,248259.95371779968,0
2629,2387,4,3,Urban,1982,223938.61300299852,2
2630,2405,5,1,Suburb,1981,298233.4900167867,1
2631,1531,2,1,Rural,2017,126421.50126432706,0
2632,1955,2,2,Rural,2016,206216.15065577615,0
2633,1151,4,3,Suburb,1966,104311.96697176862,1
2634,2585,2,2,Urban,2001,304408.0772988624,2
2635,2712,4,3,Urban,1988,267162.779226735,2
2636,1946,2,1,Rural,1956,205665.3347633077,0
2637,1607,2,3,Urban,1951,209061.4854579452,2
2638,2640,3,1,Rural,2017,196467.0093683757,0
2639,1419,4,1,Rural,1986,215038.4316332635,0
2640,2273,2,1,Urban,1973,333542.9584080849,2
2641,2140,2,2,Suburb,1996,170043.93357938027,1
2642,1865,3,2,Rural,1951,111966.0843697892,0
2643,2535,2,2,Rural,2004,288060.20648460934,0
2644,2763,3,3,Suburb,1992,332269.766016749,1
2645,1577,2,2,Rural,2008,103459.5484909478,0
2646,1334,3,1,Suburb,1986,124504.74641834848,1
2647,2441,3,2,Suburb,1951,276657.6573052858,1
2648,1931,5,1,Suburb,1963,208701.47896797492,1
2649,2797,4,2,Urban,1967,350295.5561535295,2
2650,1294,5,3,Rural,1983,186226.9624173399,0
2651,2961,4,3,Rural,1983,280322.19425747305,0
2652,1754,2,1,Rural,1985,230726.6427172749,0
2653,2394,4,2,Suburb,2004,258244.17134922984,1
2654,1185,5,2,Urban,2001,100248.62006441354,2
2655,2269,4,1,Rural,1985,225212.07431351536,0
2656,1636,5,3,Rural,1965,227329.30764911545,0
2657,2291,4,2,Rural,1990,186664.5334727374,0
2658,2666,2,2,Urban,2005,226809.61559522589,2
2659,2260,2,2,Suburb,1981,327309.1392025468,1
2660,1529,4,3,Urban,1991,135051.57071587566,2
2661,2575,4,2,Urban,1971,349422.183719434,2
2662,1020,2,3,Suburb,1986,49828.74067555496,1
2663,1910,4,2,Urban,1957,233471.2404560716,2
2664,2760,3,3,Suburb,1956,349170.73031594744,1
2665,1866,2,1,Urban,1959,145493.73099018942,2
2666,1793,2,3,Urban,1993,159201.27469394248,2
2667,2543,5,1,Urban,1989,341799.3014162392,2
2668,1099,5,2,Rural,1983,238587.9118723628,0
2669,1751,3,2,Suburb,1956,232621.9801526496,1
2670,1477,4,2,Suburb,1973,167955.83849384077,1
2671,2622,3,1,Rural,1961,280458.16377434257,0
2672,2321,4,2,Urban,1996,204259.4787133713,2
2673,1939,5,3,Rural,2015,126323.69332080711,0
2674,1525,4,3,Rural,2021,218224.0665664824,0
2675,1333,5,1,Urban,1990,71804.38649881865,2
2676,1001,2,3,Urban,1969,95002.72213510808,2
2677,1374,2,1,Suburb,1969,144753.64372091598,1
2678,1292,4,1,Rural,1961,110732.04466589232,0
2679,1836,5,2,Urban,2019,252130.7382362536,2
2680,2957,3,1,Suburb,2016,312899.31827959337,1
2681,2004,5,3,Urban,1979,213608.3346987966,2
2682,1552,5,3,Suburb,1973,217123.6059951304,1
2683,1317,5,2,Suburb,2004,179351.10936765885,1
2684,2525,2,1,Suburb,1997,307337.2970214617,1
2685,2851,5,2,Urban,1998,296891.4356187014,2
2686,1380,4,2,Urban,2012,207562.6034757681,2
2687,2646,2,2,Suburb,1978,295817.2550503141,1
2688,1013,2,2,Rural,1978,152643.1039061331,0
2689,1503,2,2,Rural,1988,213739.8068458888,0
2690,1230,5,1,Rural,1982,188892.784714348,0
2691,2107,3,3,Suburb,2021,234743.71781308984,1
2692,1129,5,1,Rural,1962,156642.31326342694,0
2693,2766,5,1,Urban,1977,353996.5029107403,2
2694,1837,3,2,Rural,1960,155576.7567840428,0
2695,2168,5,3,Suburb,1965,262476.5901040633,1
2696,1890,4,1,Suburb,1982,108576.9909463009,1
2697,2880,3,1,Rural,2007,296695.0318215873,0
2698,1027,4,3,Suburb,1991,13566.000702022764,1
2699,1065,4,1,Urban,1962,94811.58975851646,2
2700,2186,2,3,Suburb,2015,148133.51304278531,1
2701,2252,2,1,Urban,1999,293165.5639387922,2
2702,1260,3,2,Rural,1975,115487.44467481328,0
2703,2472,5,3,Urban,2009,232360.2724866673,2
2704,2447,4,1,Urban,1961,280986.0016939757,2
2705,1459,5,1,Urban,1952,138799.4594209254,2
2706,2975,4,3,Rural,1967,262435.2507733186,0
2707,2699,2,3,Urban,2003,277080.89214082924,2
2708,1300,2,3,Urban,1999,73883.85671798247,2
2709,1918,2,3,Urban,1958,310613.0418790972,2
2710,2326,3,3,Suburb,1991,263135.9366189295,1
2711,1286,4,3,Urban,2004,192515.937001464,2
2712,2418,5,2,Urban,1990,338348.0139774076,2
2713,2033,4,2,Rural,2013,295488.08615752764,0
2714,2730,5,3,Suburb,1998,341811.1812457037,1
2715,1629,5,1,Urban,1951,174875.2743664263,2
2716,1269,5,2,Rural,1980,170431.00535455588,0
2717,1591,4,2,Suburb,2005,188416.24010045495,1
2718,2993,2,1,Urban,1956,319114.62257355807,2
2719,2628,3,2,Urban,2010,311197.4516668445,2
2720,2801,3,2,Urban,1983,312879.1433833582,2
2721,1843,2,3,Suburb,1989,182946.58906136168,1
2722,1861,3,2,Suburb,1997,339204.1048726686,1
2723,2384,5,2,Rural,1970,202822.9425914517,0
2724,2280,3,2,Urban,1998,267114.313457101,2
2725,1132,4,3,Urban,1951,176489.89233471098,2
2726,2299,2,1,Suburb,2021,305690.65956010844,1
2727,2799,2,1,Urban,1969,288209.0887239885,2
2728,2706,2,1,Urban,1968,319827.9134692439,2
2729,1971,2,1,Suburb,1979,194277.87114812183,1
2730,1512,4,2,Rural,1969,227627.5483705949,0
2731,1312,5,3,Urban,1980,182825.43990577493,2
2732,1575,5,3,Rural,1966,232085.4902161903,0
2733,1885,5,2,Rural,1952,236471.97370843723,0
2734,2307,3,1,Suburb,1960,234970.91173635004,1
2735,2144,5,3,Suburb,1952,182912.5006374202,1
2736,2130,3,2,Suburb,1994,176719.4937899854,1
2737,2956,4,2,Suburb,2008,289915.19597703643,1
2738,1686,3,2,Suburb,2005,181073.14412623335,1
2739,2227,5,2,Rural,2004,284922.6181090101,0
2740,1164,2,3,Rural,1976,135824.573042168,0
2741,1304,4,2,Rural,1950,187510.6046489711,0
2742,2520,5,3,Suburb,2020,352133.3165216796,1
2743,2655,5,2,Suburb,1954,270342.33768368355,1
2744,2579,5,2,Urban,1999,364749.96917425294,2
2745,2847,4,3,Urban,1953,176569.8064710757,2
2746,1155,2,2,Rural,1990,147641.43651570252,0
2747,2390,2,1,Rural,1968,274857.3725150346,0
2748,2742,2,3,Suburb,1974,321724.1801033471,1
2749,2925,5,3,Urban,1956,388501.9685831006,2
2750,1619,3,2,Rural,1966,225181.8528463333,0
2751,2274,5,3,Suburb,1982,305036.20700040273,1
2752,1956,2,3,Urban,2009,110881.17378163325,2
2753,2939,4,1,Urban,1982,285556.11438824324,2
2754,2905,3,3,Urban,1977,302307.3355801054,2
2755,1333,3,1,Rural,1966,188370.49002812043,0
2756,2665,5,3,Rural,1997,344862.8603107464,0
2757,1968,4,1,Urban,1961,178079.24315886674,2
2758,1510,3,3,Suburb,1952,196539.22563718297,1
2759,2316,2,3,Rural,2015,200779.6339388505,0
2760,2043,5,1,Suburb,2001,263793.70829392987,1
2761,1281,5,1,Suburb,2010,202334.9994269284,1
2762,1796,2,1,Urban,1963,256045.3103628981,2
2763,2024,2,3,Urban,2016,161800.54062624794,2
2764,1118,2,2,Suburb,1954,87697.0386262448,1
2765,2058,3,2,Suburb,2012,92498.86891915087,1
2766,1197,4,3,Urban,2008,193111.49095634767,2
2767,1484,3,3,Rural,2007,239349.2945897856,0
2768,2780,4,1,Rural,2002,251076.6243343681,0
2769,2082,5,1,Rural,1993,195175.95397910592,0
2770,1836,4,1,Urban,2021,259690.38396052225,2
2771,2184,2,2,Urban,1976,222659.0065836724,2
2772,2008,3,3,Urban,1963,286491.2189726338,2
2773,1690,2,3,Urban,1956,188163.3763879819,2
2774,2229,5,2,Urban,2018,283708.94366190606,2
2775,2035,3,1,Suburb,2013,188192.90894662176,1
2776,1489,3,1,Suburb,1981,168312.86456871335,1
2777,1275,2,1,Urban,1981,10918.051234832705,2
2778,1692,3,1,Urban,1968,284429.4187048914,2
2779,1241,2,2,Urban,2003,170266.600623566,2
2780,2239,4,1,Suburb,1966,232741.1480567828,1
2781,2274,5,1,Suburb,1998,232965.52874104748,1
2782,2834,2,2,Rural,1960,224030.1642684163,0
2783,1125,5,1,Suburb,1971,86633.45055066345,1
2784,1216,3,2,Rural,1974,161433.48858668123,0
2785,2329,5,1,Rural,1994,260713.67792424423,0
2786,2820,5,3,Urban,1986,355183.6022314014,2
2787,2208,5,1,Urban,1960,197448.52131325463,2
2788,2062,3,3,Rural,1993,296675.9480587788,0
2789,2246,4,2,Urban,1991,217967.75080178832,2
2790,2207,4,1,Rural,1976,191793.80490800424,0
2791,1494,4,1,Urban,1992,148691.31333400504,2
2792,1426,2,1,Suburb,2015,232000.7670021726,1
2793,2201,2,3,Urban,1982,280902.23610128125,2
2794,1918,3,1,Rural,1951,159767.2095083141,0
2795,2451,4,2,Rural,1959,232706.30044457005,0
2796,2317,5,1,Suburb,1982,142514.7118430906,1
2797,2875,4,2,Rural,2018,337495.67863754753,0
2798,1150,2,3,Suburb,1973,121680.8809590808,1
2799,1383,3,2,Suburb,2000,120815.80609233584,1
2800,2661,4,3,Suburb,2021,367853.97141972615,1
2801,2836,2,3,Suburb,2014,418522.5922906186,1
2802,1307,2,3,Rural,1980,168508.14154015572,0
2803,2359,5,2,Suburb,1975,282167.8724464958,1
2804,2969,4,2,Rural,2010,334202.1699992591,0
2805,1745,5,2,Suburb,1996,205364.14880786324,1
2806,1891,4,1,Urban,1992,141115.42221799836,2
2807,1374,3,2,Rural,1961,121412.63400595376,0
2808,2031,4,3,Suburb,1963,230238.62080047908,1
2809,2364,5,2,Urban,1954,314691.2409661121,2
2810,1128,5,3,Suburb,1981,129795.80949566363,1
2811,2014,2,2,Suburb,1957,296640.21717998566,1
2812,2799,4,2,Urban,1971,362568.2167221203,2
2813,1668,4,3,Urban,2016,196091.795644221,2
2814,2375,3,2,Suburb,1996,248961.01163639632,1
2815,2381,2,1,Urban,1987,267672.8756356774,2
2816,1516,5,1,Suburb,1982,208605.46293963396,1
2817,2518,4,3,Rural,1998,284990.85221437,0
2818,1085,2,3,Suburb,2001,138358.36870298904,1
2819,2198,3,3,Rural,2010,292994.7145550075,0
2820,2825,2,1,Urban,1999,296205.4339761638,2
2821,2216,4,3,Urban,1999,299511.549760063,2
2822,1310,4,3,Suburb,2007,144022.42159798622,1
2823,2142,3,1,Urban,1997,195406.27994293885,2
2824,2241,3,3,Suburb,1951,222345.15541694025,1
2825,1426,3,2,Suburb,1995,147472.05268579343,1
2826,2993,5,2,Suburb,1991,272859.13348706014,1
2827,2437,2,2,Rural,1958,286333.1146488493,0
2828,1113,2,2,Rural,2001,98327.5932375506,0
2829,2168,2,1,Rural,1968,183287.7245255717,0
2830,2561,5,2,Urban,1985,304633.9247179422,2
2831,2671,2,2,Rural,1987,204274.1137137186,0
2832,1302,3,1,Rural,2009,146333.16348023657,0
2833,1743,2,1,Urban,2021,173744.86985326238,2
2834,2904,5,1,Urban,2011,267200.33341765933,2
2835,1587,5,2,Rural,1985,216737.29048699935,0
2836,1986,2,3,Rural,2011,189368.61254339592,0
2837,2863,5,3,Rural,2001,357263.9717063415,0
2838,1344,5,2,Rural,2006,181088.9830301273,0
2839,1813,2,3,Rural,1966,176340.52545497112,0
2840,2987,5,3,Urban,2009,422736.672104107,2
2841,1800,5,1,Urban,2021,219069.6591962156,2
2842,2024,2,2,Urban,1968,204408.23460030585,2
2843,2170,3,2,Suburb,1983,328386.9642016051,1
2844,2310,3,3,Urban,1961,239601.68466410768,2
2845,2999,5,2,Urban,1999,461502.0146300577,2
2846,2677,4,1,Rural,2008,321174.23786653526,0
2847,2076,4,3,Suburb,1975,326721.6711336024,1
2848,2327,2,1,Suburb,1986,303367.1906826528,1
2849,2092,2,3,Urban,2021,201153.1182102601,2
2850,1360,3,2,Rural,2012,183964.3101365404,0
2851,2625,4,1,Suburb,2014,363102.00681272056,1
2852,2981,2,1,Urban,2002,423326.2272172762,2
2853,2243,4,1,Rural,1988,259318.5565911828,0
2854,2985,4,3,Suburb,2008,263676.3903448535,1
2855,2009,5,3,Urban,1993,261256.79921154596,2
2856,1703,5,1,Rural,1952,173333.02846712072,0
2857,2989,4,1,Urban,2010,289565.131297605,2
2858,1574,3,3,Urban,1976,230942.66150819088,2
2859,2608,2,2,Suburb,1957,258275.0596222637,1
2860,2184,2,2,Urban,2013,252542.09886912967,2
2861,2704,3,1,Rural,1972,251440.6501219124,0
2862,2112,5,2,Urban,1989,229994.57507553516,2
2863,1687,5,3,Rural,1975,159312.68235190216,0
2864,1780,3,2,Rural,2002,276509.9507855957,0
2865,1584,3,3,Rural,2012,145706.5564279115,0
2866,2780,5,1,Urban,2020,322462.8509091721,2
2867,1588,4,2,Urban,2001,227434.1096786481,2
2868,2182,5,2,Rural,1986,237292.36033278535,0
2869,1488,4,3,Urban,2011,219217.34491976316,2
2870,1970,2,3,Rural,1951,238024.9280898636,0
2871,2347,2,1,Suburb,2017,323942.1595361001,1
2872,2633,4,1,Suburb,1991,324386.7539448608,1
2873,2404,4,3,Urban,1950,326862.3554856597,2
2874,2125,5,3,Rural,2010,278907.4354250051,0
2875,1493,3,1,Rural,1954,64574.64720617542,0
2876,2667,4,3,Rural,1986,243356.836662933,0
2877,2637,2,2,Urban,2018,317824.7803746588,2
2878,1018,5,1,Suburb,2001,47902.2391529821,1
2879,2477,2,2,Urban,1958,285295.03081490705,2
2880,2505,5,3,Suburb,1963,325655.96836379654,1
2881,2617,3,1,Rural,2000,324141.8084628446,0
2882,1396,3,1,Suburb,2015,109796.94285464322,1
2883,2000,2,1,Suburb,2010,240007.38390016995,1
2884,2302,4,3,Urban,2017,286117.0801406424,2
2885,1850,4,1,Rural,2016,223867.5726039152,0
2886,2388,2,1,Urban,1991,260870.0683376229,2
2887,2354,4,1,Rural,1986,244576.2202654764,0
2888,2664,4,1,Rural,2009,206396.14784776705,0
2889,2367,2,3,Rural,2020,342694.3257104975,0
2890,1821,2,1,Urban,1951,233668.57408326629,2
2891,1454,3,1,Urban,1953,188530.64444892344,2
2892,2624,2,3,Rural,2000,307045.34699439903,0
2893,1724,3,1,Suburb,2001,259480.9447070821,1
2894,2678,3,2,Rural,1977,227139.98837939632,0
2895,2088,5,1,Suburb,1962,171610.24820790975,1
2896,2099,4,1,Urban,2001,139606.52512299086,2
2897,1710,2,2,Urban,1968,168942.76900484922,2
2898,1142,4,3,Suburb,1968,149649.2484213757,1
2899,1916,5,1,Urban,1993,220955.1806538027,2
2900,2938,2,2,Urban,1975,229690.6449651136,2
2901,1827,2,3,Suburb,1970,144591.40788816832,1
2902,1604,5,3,Urban,1989,287029.1755459886,2
2903,2496,4,2,Suburb,1964,262498.1944187788,1
2904,2440,3,3,Suburb,2021,251357.7135639105,1
2905,1304,5,3,Rural,1958,210829.51109351704,0
2906,1735,5,2,Urban,2005,262376.6293197525,2
2907,2520,2,3,Rural,2007,285799.6622989603,0
2908,1290,3,2,Suburb,2000,169224.3714072209,1
2909,2963,5,3,Urban,2020,272009.5363784613,2
2910,1101,4,2,Urban,1952,158172.89000369256,2
2911,2290,5,3,Suburb,1998,294583.7863342183,1
2912,1866,4,2,Rural,1998,261400.11601833667,0
2913,1967,2,1,Suburb,1957,182230.82560850927,1
2914,2645,5,3,Urban,1972,352345.0632559348,2
2915,1973,4,2,Suburb,1996,271382.7446381729,1
2916,1841,2,3,Rural,1971,181366.85270316672,0
2917,1961,2,3,Suburb,2010,257727.6311137292,1
2918,1941,2,1,Suburb,1952,165639.51675808453,1
2919,2800,5,3,Urban,1998,243474.4477234156,2
2920,2026,2,3,Suburb,1997,198205.39944815775,1
2921,1084,2,1,Urban,1987,134139.60903690415,2
2922,2817,4,2,Rural,2009,284652.0787843606,0
2923,1327,2,2,Suburb,2004,70898.66642722239,1
2924,1815,5,2,Urban,1978,236463.22923742668,2
2925,2473,3,2,Urban,1961,263159.5843017302,2
2926,1453,2,2,Suburb,1967,107698.29539228516,1
2927,2947,5,2,Suburb,2014,315835.76987179794,1
2928,1628,2,1,Urban,2003,144881.17485800633,2
2929,2244,5,2,Urban,2006,258201.53592070384,2
2930,2177,2,1,Rural,2010,219665.923782876,0
2931,1664,4,3,Rural,2005,218455.7742955195,0
2932,1011,3,1,Rural,2017,107334.48856240348,0
2933,2156,3,1,Suburb,1978,132073.99260592624,1
2934,1303,5,1,Suburb,2006,115553.73947195178,1
2935,2316,5,1,Rural,2018,215415.3337485653,0
2936,1974,3,2,Suburb,1965,228101.08669727467,1
2937,2323,4,3,Suburb,2009,261706.03446340412,1
2938,2763,4,3,Suburb,1980,355956.24519577506,1
2939,1782,2,3,Suburb,2018,191120.2962414574,1
2940,1042,4,1,Rural,1979,75099.32403355616,0
2941,1943,3,1,Suburb,1973,220838.3244016946,1
2942,1342,3,2,Rural,1970,186302.78027415648,0
2943,2349,4,2,Rural,1954,247178.5271425052,0
2944,2837,4,3,Suburb,2011,350986.40623497154,1
2945,1497,3,1,Suburb,1984,148478.4031055562,1
2946,1363,3,1,Rural,2014,153662.2957016022,0
2947,1890,3,1,Suburb,1980,208201.87523446287,1
2948,1426,3,3,Rural,1989,124142.07695560082,0
2949,2004,3,3,Urban,1993,202831.91828514705,2
2950,1020,4,1,Urban,1954,134100.6379227283,2
2951,1406,4,1,Rural,1998,180241.40981218067,0
2952,1618,2,3,Urban,1997,263024.8078532809,2
2953,2014,2,3,Rural,1970,187786.1865537745,0
2954,1335,5,2,Rural,1996,207957.9274782492,0
2955,2838,2,2,Suburb,1951,328168.74403618585,1
2956,2140,4,2,Urban,2011,283147.3920190625,2
2957,2147,2,1,Urban,1964,197871.4316762445,2
2958,1398,2,1,Suburb,2006,134718.94739590032,1
2959,1792,4,1,Rural,2018,172927.93409984146,0
2960,2827,3,3,Suburb,1950,294455.6883244584,1
2961,1714,4,2,Urban,1960,226499.59356777332,2
2962,1050,4,3,Rural,1983,136812.8117299336,0
2963,2806,5,3,Rural,1966,358092.415606291,0
2964,1323,5,3,Suburb,2013,127279.0099651315,1
2965,1788,5,1,Rural,2008,109080.5902500728,0
2966,1140,3,1,Urban,1963,131010.072514419,2
2967,1469,2,3,Urban,1991,159711.25820115174,2
2968,1786,5,2,Urban,1993,224234.0608025701,2
2969,2825,4,1,Rural,1967,321469.4201347826,0
2970,2357,5,1,Suburb,1986,191311.8340771496,1
2971,2916,4,3,Urban,2003,225743.16604622657,2
2972,1963,3,1,Rural,1978,332121.0273597828,0
2973,2007,5,2,Suburb,1980,302156.4373870679,1
2974,1372,4,3,Rural,2001,221983.79138935264,0
2975,2587,2,1,Urban,2008,334517.40725755814,2
2976,1493,3,3,Rural,2007,189121.51774603748,0
2977,2562,4,3,Urban,1966,316102.8590388098,2
2978,2692,2,2,Urban,1950,240595.08924117408,2
2979,1750,2,2,Urban,2018,199661.272241265,2
2980,2179,4,1,Urban,2016,261252.9061700792,2
2981,1290,5,3,Rural,1994,237567.6010999809,0
2982,2671,2,1,Rural,1979,168741.55455074605,0
2983,2167,3,1,Suburb,2021,336045.5800566853,1
2984,1105,2,1,Suburb,1952,161667.28978926205,1
2985,2443,5,2,Suburb,2014,296033.6043084375,1
2986,1669,3,3,Suburb,1953,193318.33795217384,1
2987,2681,3,3,Urban,1964,280841.57048610575,2
2988,1001,3,2,Urban,2019,55453.870091129225,2
2989,2968,4,2,Rural,1984,312344.8202609043,0
2990,1588,2,1,Rural,1976,190994.40080997467,0
2991,1643,5,1,Suburb,1990,183378.00711669357,1
2992,1089,4,2,Rural,1971,155740.5921345614,0
2993,2368,4,2,Rural,1989,274778.1991690117,0
2994,1349,3,3,Rural,2007,96544.77517755772,0
2995,2482,4,3,Urban,1986,232992.782503858,2
2996,2286,2,3,Suburb,2007,255788.89440910157,1
2997,2374,4,2,Suburb,1992,178494.59976093675,1
2998,2131,4,1,Rural,1994,299860.50250577205,0
2999,2609,3,3,Rural,1961,324703.22556069924,0
3000,2062,3,2,Urban,2018,208711.0141378861,2
3001,1908,4,2,Urban,2018,189094.1749383663,2
