,SquareFeet,Bedrooms,Bathrooms,YearBuilt,Price,Neighborhood_Rural,Neighborhood_Suburb,Neighborhood_Urban
3287,1252,5,3,1972,204133,0,0,1
3288,1821,2,1,2008,221151,1,0,0
3289,2312,3,1,1981,249184,0,0,1
3290,1163,5,2,1966,106470,0,1,0
3291,1094,5,2,1977,42159,1,0,0
3292,2805,3,2,1992,325843,0,0,1
3293,1832,2,2,1998,208247,0,0,1
3294,2133,4,3,1993,247235,0,1,0
3295,1335,3,2,2006,191030,0,1,0
3296,1821,4,2,1963,232581,1,0,0
3297,1237,4,1,1976,145917,0,1,0
3298,1380,4,3,1956,205654,0,0,1
3299,2459,3,1,2005,268616,1,0,0
3300,1898,3,1,1996,213395,0,0,1
3301,1482,4,1,1961,237087,1,0,0
3302,2960,2,2,1951,317306,0,0,1
3303,1901,2,3,2021,130462,0,1,0
3304,2048,2,2,2005,266338,0,1,0
3305,2676,5,3,1965,346205,1,0,0
3306,2140,4,1,1974,233665,0,0,1
3307,1481,5,3,1952,241926,0,1,0
3308,2415,2,1,1994,228823,0,1,0
3309,1916,3,2,1999,212662,0,1,0
3310,1993,2,1,1954,277032,1,0,0
3311,1963,5,2,1982,211545,0,1,0
3312,1536,5,2,2014,166303,0,0,1
3313,2102,2,2,1981,231128,1,0,0
3314,2603,4,1,1978,325865,1,0,0
3315,2196,3,2,1972,181063,1,0,0
3316,2979,3,3,1961,377346,1,0,0
3317,2035,2,3,2009,275975,1,0,0
3318,2823,4,3,1996,379295,1,0,0
3319,1127,4,3,1960,56134,0,1,0
3320,2631,2,2,1987,336783,1,0,0
3321,1091,3,3,2017,139634,0,1,0
3322,2676,3,1,1970,273868,0,0,1
3323,1542,3,3,1955,161802,0,1,0
3324,1845,4,3,2020,200298,1,0,0
3325,2555,2,1,1985,298021,0,0,1
3326,2681,4,1,1964,298152,1,0,0
3327,1988,3,3,1958,227620,1,0,0
3328,2851,4,2,1996,193188,1,0,0
3329,1446,3,1,1960,132471,0,1,0
3330,1389,2,2,1966,166923,0,0,1
3331,1671,3,2,1983,71406,0,0,1
3332,2884,5,3,1995,362452,0,0,1
3333,1042,5,2,1979,118146,0,1,0
3334,1253,2,2,1961,119050,0,1,0
3335,2153,4,2,1956,240399,0,1,0
3336,2083,4,3,2015,178570,0,1,0
3337,1662,4,1,1970,130229,0,0,1
3338,1466,3,3,1999,207184,0,1,0
3339,1286,5,1,1950,189473,1,0,0
3340,2010,2,2,1998,191497,0,0,1
3341,2540,4,1,2015,317919,0,1,0
3342,2490,4,1,1975,321550,0,1,0
3343,2953,2,1,1974,208697,1,0,0
3344,1777,3,1,1978,235667,1,0,0
3345,1344,4,2,2001,158348,1,0,0
3346,1641,3,1,2013,233876,1,0,0
3347,1381,3,1,1977,208435,0,0,1
3348,2802,3,2,1988,304995,1,0,0
3349,1689,4,1,2017,211762,1,0,0
3350,2276,4,3,2010,286560,0,1,0
3351,2950,2,1,1959,371114,1,0,0
3352,2079,2,3,1959,246456,0,1,0
3353,2486,3,3,1989,250692,1,0,0
3354,1456,4,3,2000,153904,0,0,1
3355,1982,3,2,1992,195499,0,1,0
3356,1082,2,3,1988,125439,0,1,0
3357,2928,3,3,1962,457902,0,1,0
3358,2122,5,2,1991,265550,0,1,0
3359,1148,3,2,1975,250446,0,1,0
3360,2352,4,3,2008,323581,1,0,0
3361,2179,3,2,2007,218869,1,0,0
3362,1189,3,1,1980,152332,0,0,1
3363,2517,4,3,1976,282028,1,0,0
3364,1882,5,3,2011,225689,0,0,1
3365,1262,4,1,2006,170513,0,0,1
3366,2103,2,2,1953,407173,0,1,0
3367,1399,5,1,2001,212536,0,0,1
3368,1763,5,1,1988,192576,0,0,1
3369,1608,4,2,1950,177056,0,0,1
3370,2283,3,2,1965,250997,0,0,1
3371,2795,2,3,1994,293723,0,0,1
3372,2638,2,3,1983,261822,0,1,0
3373,2575,5,3,1971,346915,0,0,1
3374,1784,2,2,1952,172890,0,1,0
3375,1100,5,3,1987,50210,1,0,0
3376,2382,5,1,1951,237196,0,0,1
3377,2403,2,3,2003,301107,1,0,0
3378,1819,5,2,1989,195750,1,0,0
3379,2244,3,2,1991,275301,0,0,1
3380,1819,5,3,2007,144517,1,0,0
3381,1419,3,2,1984,83233,0,1,0
3382,1123,3,2,1998,92402,0,1,0
3383,1421,3,3,2010,183339,1,0,0
3384,2254,2,3,1991,216149,0,0,1
3385,2713,3,1,1976,270883,1,0,0
3386,2086,2,2,1969,217634,0,0,1
3387,2508,4,3,1970,224554,1,0,0
3388,2651,3,1,1955,353686,0,0,1
3389,2726,5,2,1971,388796,1,0,0
3390,2597,4,2,1978,326799,0,0,1
3391,1767,4,1,1989,263232,1,0,0
3392,1482,3,2,1976,182385,0,0,1
3393,1518,2,3,1964,179146,0,1,0
3394,1154,4,1,1999,161345,0,1,0
3395,1091,3,1,1961,133572,0,0,1
3396,1981,4,3,2003,271000,0,0,1
3397,2549,4,1,1990,237470,0,1,0
3398,1454,3,3,2021,215957,0,0,1
3399,2764,5,3,2000,393864,0,1,0
3400,1597,5,2,1998,177048,0,1,0
3401,2668,5,2,1974,251495,1,0,0
3402,1509,4,2,1996,237548,1,0,0
3403,2206,2,2,1966,265312,0,0,1
3404,1385,2,2,1987,172911,0,0,1
3405,2597,4,3,1961,266296,0,1,0
3406,2754,4,1,1955,321260,0,1,0
3407,1404,3,1,1958,162507,0,1,0
3408,1245,2,2,1995,151889,1,0,0
3409,1741,4,3,1971,226966,0,1,0
3410,2614,5,3,2004,275197,1,0,0
3411,1660,2,3,1952,152441,0,0,1
3412,1649,4,1,1983,127915,1,0,0
3413,2494,3,3,1953,252484,0,0,1
3414,2849,3,2,1951,294567,0,0,1
3415,2911,2,3,2007,348178,0,0,1
3416,2446,5,2,1962,320600,1,0,0
3417,1900,2,1,1986,68439,0,0,1
3418,1064,4,1,1958,129836,1,0,0
3419,2036,5,3,1957,258202,1,0,0
3420,1212,4,1,1999,134972,0,0,1
3421,1241,5,1,2011,152976,0,0,1
3422,1492,5,3,1979,191101,1,0,0
3423,2236,4,1,1973,236176,0,0,1
3424,2716,2,2,1997,299032,0,1,0
3425,1337,3,3,1971,84685,0,0,1
3426,1172,5,2,2017,112546,0,0,1
3427,1671,5,1,2000,183244,0,1,0
3428,1163,3,3,2011,114009,1,0,0
3429,1464,2,2,2016,123522,0,0,1
3430,1994,3,3,1965,254431,0,1,0
3431,1496,2,2,2002,126123,0,1,0
3432,1699,5,2,1987,285620,1,0,0
3433,1394,5,3,1997,138880,1,0,0
3434,1702,4,2,2008,180800,1,0,0
3435,2940,2,3,1956,268314,0,1,0
3436,1307,3,1,1994,96464,1,0,0
3437,2791,2,2,2010,316930,0,0,1
3438,1182,2,2,1976,86128,0,0,1
3439,1628,2,2,1980,186170,0,0,1
3440,2817,2,2,2019,338627,0,1,0
3441,1509,3,1,2006,116008,1,0,0
3442,2731,4,3,1962,222600,0,1,0
3443,1545,5,3,2005,259988,0,1,0
3444,2587,3,3,1956,213439,1,0,0
3445,1623,3,1,1988,205946,0,0,1
3446,2787,5,1,2000,240728,0,1,0
3447,1593,4,3,2006,203212,1,0,0
3448,1743,3,3,1995,233564,0,0,1
3449,2250,5,1,1963,225151,1,0,0
3450,2768,4,1,2005,226681,1,0,0
3451,2756,4,2,1967,265441,0,0,1
3452,2459,2,3,2003,232974,0,0,1
3453,2948,3,3,2002,283715,0,1,0
3454,2445,4,3,1992,113827,0,1,0
3455,1553,3,3,1967,115575,0,0,1
3456,1020,5,3,1952,98716,1,0,0
3457,1553,3,2,2001,172649,0,0,1
3458,1396,4,1,1981,124313,0,0,1
3459,1624,5,2,1951,214156,0,0,1
3460,1104,5,2,1960,107228,0,1,0
3461,1191,2,3,1951,163391,1,0,0
3462,1016,5,2,1978,190235,0,1,0
3463,2143,4,2,1952,254698,0,1,0
3464,1392,2,3,2009,191605,0,0,1
3465,1424,4,2,2005,133596,0,0,1
3466,1128,4,2,1950,178684,0,1,0
3467,2153,2,1,2013,169288,0,0,1
3468,1571,2,3,1961,166900,1,0,0
3469,2583,3,3,1954,303031,0,1,0
3470,1028,4,2,2001,120717,0,0,1
3471,2120,3,3,2020,244825,0,1,0
3472,2033,5,1,1992,180347,1,0,0
3473,1241,5,2,2007,192982,0,1,0
3474,2849,3,1,1979,247704,0,1,0
3475,2979,2,2,1967,257150,0,1,0
3476,1231,5,2,1986,203542,0,0,1
3477,1788,2,3,1967,260748,0,1,0
3478,2307,3,3,1985,271059,0,0,1
3479,1714,2,2,2004,175358,0,0,1
3480,1758,4,1,2005,143407,0,1,0
3481,1801,5,2,2009,157229,0,1,0
3482,1775,2,2,1996,171578,0,1,0
3483,2978,2,2,1970,291795,0,1,0
3484,1725,4,1,1981,80574,0,1,0
3485,1199,2,3,1979,157912,0,1,0
3486,1944,3,3,1990,130009,0,1,0
3487,1078,3,1,2007,57658,0,0,1
3488,2936,3,3,2011,289947,1,0,0
3489,1955,5,2,1990,238773,1,0,0
3490,2878,2,3,1967,312036,1,0,0
3491,1855,5,3,1987,217283,1,0,0
3492,2196,5,1,1996,194780,0,0,1
3493,1466,2,1,2006,156811,1,0,0
3494,1580,2,2,1971,236684,0,1,0
3495,2439,3,2,1994,267225,0,0,1
3496,1939,5,3,2004,260253,1,0,0
3497,1448,5,1,1988,66486,1,0,0
3498,1086,2,1,2017,127241,1,0,0
3499,1100,5,2,1989,182859,1,0,0
3500,2031,4,3,1965,256195,1,0,0
3501,1844,2,3,2011,225565,1,0,0
3502,2223,3,1,1957,201606,0,0,1
3503,2528,4,1,1984,285395,0,1,0
3504,1086,4,1,1981,183383,1,0,0
3505,1042,3,1,1995,114428,1,0,0
3506,2408,4,2,1993,353976,1,0,0
3507,2644,4,2,2000,235622,0,0,1
3508,2458,4,1,1969,285258,1,0,0
3509,1407,5,3,2005,165141,0,0,1
3510,2506,4,2,1957,199439,0,0,1
3511,1663,4,1,2000,198048,0,1,0
3512,2040,2,1,1950,212732,0,0,1
3513,2668,3,3,1992,233696,0,1,0
3514,1147,5,3,2014,67321,1,0,0
3515,1276,5,1,2008,165273,1,0,0
3516,1231,3,2,1990,144638,1,0,0
3517,2849,5,2,1959,319329,1,0,0
3518,2950,5,3,1986,382303,0,0,1
3519,1365,5,2,1966,177278,0,1,0
3520,2251,2,2,1963,207351,0,0,1
3521,2674,2,2,1965,411781,1,0,0
3522,1435,5,1,1953,264587,0,0,1
3523,1398,3,1,1967,147721,1,0,0
3524,2234,3,2,1988,252086,0,1,0
3525,2414,2,1,1953,147288,0,0,1
3526,1498,2,3,1962,203830,0,1,0
3527,1539,4,2,2003,166166,0,0,1
3528,1562,2,2,1970,189795,0,1,0
3529,2514,5,3,1962,219149,0,0,1
3530,1441,2,2,1980,190185,0,0,1
3531,2284,4,2,1954,159292,1,0,0
3532,1772,4,2,1958,69042,0,0,1
3533,1349,3,3,1994,237053,0,1,0
3534,2375,3,1,1958,149445,0,1,0
3535,1519,5,1,1958,92982,0,1,0
3536,2343,2,2,2007,196703,1,0,0
3537,1137,4,1,1971,123377,0,1,0
3538,2573,4,2,2005,165588,1,0,0
3539,2646,3,3,1953,209654,0,1,0
3540,1991,3,3,1992,155152,1,0,0
3541,1367,2,2,1979,129191,0,1,0
3542,2243,4,2,1978,337379,1,0,0
3543,2360,3,2,1965,285712,0,0,1
3544,2246,2,1,1964,236335,0,1,0
3545,2671,2,3,1957,241037,1,0,0
3546,2791,2,2,1964,279430,1,0,0
3547,1359,3,1,2009,138899,1,0,0
3548,1920,3,2,1982,229328,1,0,0
3549,1328,3,3,2021,165888,0,1,0
3550,1961,5,3,1990,216560,1,0,0
3551,1462,5,3,2008,205631,0,1,0
3552,1945,5,2,1982,230228,0,0,1
3553,1962,3,3,1991,136922,0,0,1
3554,2584,3,2,1964,217015,0,0,1
3555,2827,5,1,1968,266097,0,1,0
3556,2405,4,1,1995,320707,0,0,1
3557,1835,4,1,1978,250200,0,1,0
3558,2613,4,2,1959,281734,0,0,1
3559,2640,4,3,2010,299682,0,0,1
3560,1168,5,3,1980,133294,0,1,0
3561,1216,2,2,1951,147211,0,0,1
3562,1377,2,1,1960,181801,0,1,0
3563,1118,4,1,1989,149202,0,1,0
3564,1189,3,2,1988,105365,0,0,1
3565,1766,4,3,1999,189955,0,1,0
3566,1369,4,3,1955,175157,1,0,0
3567,2801,2,3,1977,257263,1,0,0
3568,1148,3,3,1961,154140,0,0,1
3569,2699,2,1,1997,312966,1,0,0
3570,1651,3,3,2005,189808,0,0,1
3571,2882,5,2,1982,371934,0,1,0
3572,2511,2,3,1959,288418,0,1,0
3573,1769,5,1,1958,237649,1,0,0
3574,1373,5,3,2008,132497,1,0,0
3575,1780,4,3,1971,269155,1,0,0
3576,2716,3,2,1998,321177,0,1,0
3577,1159,2,3,2010,126204,1,0,0
3578,1350,4,3,1980,187740,0,0,1
3579,2935,2,2,2014,310095,0,1,0
3580,2311,5,2,1956,305474,1,0,0
3581,2311,2,2,1971,240336,0,1,0
3582,1891,2,2,1970,186482,0,1,0
3583,2249,4,1,1996,227382,0,0,1
3584,1522,3,3,1981,214824,0,0,1
3585,1521,2,3,1996,190829,1,0,0
3586,1782,5,1,2015,314004,0,1,0
3587,1272,5,2,2014,157232,0,0,1
3588,1935,4,3,2010,146276,0,0,1
3589,2425,5,2,1966,298145,1,0,0
3590,1182,2,2,1972,141121,0,1,0
3591,2992,3,1,1999,324707,1,0,0
3592,2688,2,1,2018,272252,1,0,0
3593,1487,4,2,2013,172630,1,0,0
3594,2850,5,3,1997,348967,0,1,0
3595,1845,2,2,1962,227820,0,1,0
3596,1123,2,3,1966,94380,1,0,0
3597,1984,5,2,2013,217392,1,0,0
3598,2649,3,2,2000,358652,1,0,0
3599,1789,3,3,1974,262667,0,1,0
3600,1413,3,1,1969,170918,1,0,0
3601,2748,5,1,2008,304504,0,0,1
3602,2195,2,2,2018,109733,1,0,0
3603,2311,4,3,1970,256710,1,0,0
3604,2458,2,1,1982,228394,0,1,0
3605,1685,5,3,2012,142153,0,1,0
3606,1112,5,1,2005,70445,0,0,1
3607,1887,2,3,1955,235102,1,0,0
3608,2940,5,2,1961,250084,0,1,0
3609,1121,2,3,2006,101599,0,1,0
3610,2567,2,2,2006,282166,0,1,0
3611,2245,3,1,2017,343022,0,1,0
3612,2654,5,3,1999,297306,0,1,0
3613,1038,5,1,1976,96854,0,1,0
3614,1496,3,1,2010,231832,1,0,0
3615,1779,3,2,1954,220128,0,1,0
3616,2256,3,3,2016,248975,1,0,0
3617,1942,4,2,1953,194949,1,0,0
3618,2553,5,3,1962,345898,0,0,1
3619,1148,2,1,1952,207320,0,0,1
3620,2420,2,1,2020,335654,0,0,1
3621,2021,2,3,1964,170014,1,0,0
3622,1660,5,1,1968,203439,1,0,0
3623,2661,4,1,1980,279168,1,0,0
3624,2927,5,2,1964,270887,0,1,0
3625,1301,5,1,1997,82347,0,0,1
3626,2383,5,1,2003,225942,0,1,0
3627,1237,5,1,2004,220770,0,0,1
3628,1646,5,3,2007,295325,0,0,1
3629,1662,4,1,2005,147084,0,1,0
3630,1235,3,2,2012,-19871,1,0,0
3631,2759,2,2,2013,313276,0,0,1
3632,1202,5,2,1984,250758,1,0,0
3633,1255,5,2,1980,167128,0,1,0
3634,1597,5,1,1968,131208,0,0,1
3635,1661,2,2,2007,164928,1,0,0
3636,1234,4,3,2002,64552,0,0,1
3637,2368,2,3,2017,309664,1,0,0
3638,1533,4,1,1958,195595,1,0,0
3639,1859,3,3,1959,209603,1,0,0
3640,2820,5,3,1997,338858,0,1,0
3641,2804,4,1,1972,235291,0,0,1
3642,2489,2,1,1974,240502,1,0,0
3643,1769,4,2,2006,261743,0,1,0
3644,1540,4,2,1985,112637,1,0,0
3645,1212,3,1,1975,190867,1,0,0
3646,1462,5,3,1976,166426,0,1,0
3647,1435,5,1,1985,101224,0,1,0
3648,1282,2,2,1981,162832,0,0,1
3649,2585,2,1,1976,346352,0,1,0
3650,2630,3,1,1963,255598,1,0,0
3651,2486,4,3,1995,319032,0,1,0
3652,2430,4,1,1998,299338,0,1,0
3653,1087,2,2,1983,115141,1,0,0
3654,2067,5,1,1979,281590,1,0,0
3655,1460,4,3,1982,206687,0,0,1
3656,1277,3,1,1992,69539,1,0,0
3657,2706,2,3,1957,229539,0,1,0
3658,1420,4,1,2018,156561,0,1,0
3659,2724,5,3,1963,358648,1,0,0
3660,2376,5,1,2010,254442,0,0,1
3661,1695,3,1,1970,289798,0,0,1
3662,1514,3,1,1978,217093,1,0,0
3663,1702,2,1,1958,157277,0,1,0
3664,2653,2,1,2011,192253,1,0,0
3665,1018,5,2,2006,128947,0,1,0
3666,1022,5,2,1977,144098,0,1,0
3667,1412,4,1,1978,180968,0,1,0
3668,2053,4,3,1998,256961,1,0,0
3669,2830,4,3,2000,280565,0,1,0
3670,1107,3,2,2008,189618,1,0,0
3671,2390,3,2,1990,209809,1,0,0
3672,2304,4,2,1968,318464,0,0,1
3673,2151,5,3,1972,203172,0,0,1
3674,2252,2,2,2017,249661,0,0,1
3675,2134,3,2,1977,268257,1,0,0
3676,1135,3,2,2021,157990,1,0,0
3677,1361,4,1,1983,112370,1,0,0
3678,2209,2,1,1967,186727,0,0,1
3679,2679,3,2,1982,215865,0,1,0
3680,2607,2,3,2004,215014,0,1,0
3681,1128,3,1,1979,61993,0,0,1
3682,2899,2,2,1952,372315,0,0,1
3683,2284,2,1,1971,332202,0,1,0
3684,1514,3,3,1965,200507,0,0,1
3685,1448,2,2,1958,189605,1,0,0
3686,2923,5,2,1988,359085,1,0,0
3687,2127,3,1,2012,221557,0,0,1
3688,2506,3,2,1982,242896,1,0,0
3689,2247,5,1,1964,243800,1,0,0
3690,2855,2,3,1974,217989,1,0,0
3691,1873,5,1,1980,218285,0,1,0
3692,2889,3,2,2009,412180,0,0,1
3693,2514,5,3,1993,276918,1,0,0
3694,1472,2,3,1999,147911,0,0,1
3695,2033,5,3,1965,266828,1,0,0
3696,2428,3,1,2019,232022,0,1,0
3697,2919,2,3,1999,254693,1,0,0
3698,1301,3,2,1979,108301,0,1,0
3699,1230,3,3,1989,217984,1,0,0
3700,2754,4,3,1991,280689,0,1,0
3701,1922,3,1,1950,141603,1,0,0
3702,2089,3,1,2013,261293,1,0,0
3703,1936,2,2,1991,224127,0,1,0
3704,1111,2,2,1984,91996,1,0,0
3705,2036,2,1,1995,242475,1,0,0
3706,2416,5,3,1967,310962,1,0,0
3707,1499,5,1,2007,118865,0,1,0
3708,1931,2,1,2013,257032,0,0,1
3709,1597,5,1,1957,172280,1,0,0
3710,1233,4,2,1980,66481,1,0,0
3711,1601,5,2,1963,111508,0,1,0
3712,1313,4,2,1970,125095,0,0,1
3713,1565,2,2,2020,185563,1,0,0
3714,2035,2,3,2004,259814,1,0,0
3715,1208,5,2,1985,141224,0,0,1
3716,2997,2,2,1988,230653,1,0,0
3717,2037,2,3,1975,286036,0,0,1
3718,2656,3,3,1985,351655,0,1,0
3719,2441,2,1,1985,268620,0,1,0
3720,2460,3,3,2009,248555,0,0,1
3721,2400,2,3,1975,240143,0,1,0
3722,2043,4,2,1982,137819,0,0,1
3723,1586,4,2,1965,163736,1,0,0
3724,2935,2,2,1950,241215,0,1,0
3725,2778,4,2,2014,318478,0,0,1
3726,2758,4,3,2011,271596,0,0,1
3727,2014,4,2,1964,314082,0,0,1
3728,2093,5,2,1977,309180,1,0,0
3729,2847,4,1,1984,254727,1,0,0
3730,2234,3,3,1955,217044,1,0,0
3731,2124,5,3,1956,261314,0,1,0
3732,1697,3,3,1977,210918,1,0,0
3733,1131,3,1,1999,171937,0,0,1
3734,2646,3,3,1986,285216,1,0,0
3735,2404,5,3,1980,168817,0,1,0
3736,2155,2,2,1956,211881,1,0,0
3737,2043,4,3,2002,217343,0,0,1
3738,2929,4,2,1987,327070,0,1,0
3739,1535,2,1,1990,213733,0,0,1
3740,2013,2,2,1990,266794,1,0,0
3741,1226,3,1,2008,165595,0,1,0
3742,2177,5,1,1962,234625,0,1,0
3743,2828,3,1,1961,311416,0,0,1
3744,2765,4,2,1975,268501,0,1,0
3745,2492,2,1,2003,320150,0,1,0
3746,1821,4,2,1995,188399,0,1,0
3747,1870,2,2,1983,203003,0,0,1
3748,1404,5,2,2005,77075,1,0,0
3749,1201,3,1,2006,129520,0,0,1
3750,1037,4,2,1984,183274,1,0,0
3751,1941,5,2,1966,222369,1,0,0
3752,2795,4,1,1982,279070,0,1,0
3753,1187,2,2,2004,211295,0,1,0
3754,2080,4,1,1967,179504,1,0,0
3755,1940,5,1,1983,178111,1,0,0
3756,2043,5,1,1955,158461,0,1,0
3757,1272,3,2,2011,213233,1,0,0
3758,2142,4,2,2017,148585,1,0,0
3759,1582,2,3,2010,169730,1,0,0
3760,1515,4,3,2012,157802,1,0,0
3761,2244,3,3,1971,250040,1,0,0
3762,1525,2,1,1969,225603,0,1,0
3763,2538,2,3,1959,252853,0,1,0
3764,2751,3,2,2004,280059,0,0,1
3765,2764,2,1,2005,221608,1,0,0
3766,1335,5,1,2014,187410,0,0,1
3767,1697,5,2,1964,200595,0,0,1
3768,2078,2,3,1977,230098,0,1,0
3769,1499,4,3,1965,242685,1,0,0
3770,1899,2,2,2009,221111,0,0,1
3771,2911,4,2,2006,249657,0,0,1
3772,1765,3,3,1964,165649,0,0,1
3773,1535,5,2,1999,305659,0,1,0
3774,1161,5,3,1970,195354,1,0,0
3775,2693,3,2,1997,260102,1,0,0
3776,1593,3,3,1980,131238,0,1,0
3777,2938,5,2,2013,241186,1,0,0
3778,1158,3,1,2008,167100,0,1,0
3779,2211,2,1,1987,220628,1,0,0
3780,1059,2,1,1986,91808,0,0,1
3781,1914,4,2,1963,226146,1,0,0
3782,2840,4,3,2011,353639,0,0,1
3783,2342,4,3,2019,212892,1,0,0
3784,2901,2,3,1996,470989,0,0,1
3785,1210,5,1,2019,89705,1,0,0
3786,1405,4,1,1988,184428,0,0,1
3787,1663,2,3,2020,167679,1,0,0
3788,2132,5,2,1982,245569,0,1,0
3789,2099,3,2,2000,314619,1,0,0
3790,1541,2,3,1994,227911,0,0,1
3791,2337,3,3,1983,169714,0,1,0
3792,1997,4,2,1996,220657,0,1,0
3793,2140,5,3,1986,199300,0,0,1
3794,1926,2,2,1952,173274,0,1,0
3795,1867,4,2,2017,143930,0,0,1
3796,2727,4,1,1959,222875,0,1,0
3797,1018,5,1,1970,152476,1,0,0
3798,1431,3,1,2021,193015,0,0,1
3799,2708,4,3,2004,284986,0,1,0
3800,1739,5,2,2016,183037,0,1,0
3801,2373,5,3,2013,297296,0,0,1
3802,1182,2,3,1951,96296,0,0,1
3803,1112,4,3,1982,22206,0,0,1
3804,2206,3,2,1988,300476,0,1,0
3805,1480,3,1,2014,206367,0,1,0
3806,2169,4,2,2014,246342,1,0,0
3807,1830,3,2,2009,245287,0,0,1
3808,2651,5,3,1966,331022,1,0,0
3809,2136,5,3,2007,270464,0,0,1
3810,1762,4,1,1980,256277,0,1,0
3811,1475,3,2,1955,105710,0,0,1
3812,1762,5,1,2000,150840,1,0,0
3813,2326,4,3,1999,298666,1,0,0
3814,1970,5,3,2016,240967,0,1,0
3815,2848,4,1,2005,328773,1,0,0
3816,2019,2,1,1960,234185,1,0,0
3817,2141,2,2,1956,320770,0,1,0
3818,2836,4,1,1999,270068,1,0,0
3819,1160,2,1,2007,183294,0,1,0
3820,1400,2,2,1983,110133,0,1,0
3821,1197,3,3,1956,106614,1,0,0
3822,2283,2,2,1951,174931,0,1,0
3823,1659,3,3,1984,235157,0,0,1
3824,2775,2,3,1985,245658,0,1,0
3825,2070,2,1,1976,188867,1,0,0
3826,1398,5,1,1975,306902,0,0,1
3827,2733,4,1,2019,208916,0,0,1
3828,2582,2,1,2021,272727,0,0,1
3829,1077,4,1,1965,155367,0,0,1
3830,1123,4,3,1956,147367,0,1,0
3831,1074,5,2,1957,233342,0,1,0
3832,2894,4,1,1950,297673,0,1,0
3833,1136,4,3,1981,177642,1,0,0
3834,1601,2,1,1977,117202,1,0,0
3835,2423,5,2,2001,329919,0,0,1
3836,1836,4,3,1982,183705,1,0,0
3837,2528,2,2,1967,314441,0,1,0
3838,1499,5,1,1971,192430,0,1,0
3839,2596,2,3,1999,315521,0,1,0
3840,1137,5,2,1963,105493,0,1,0
3841,1049,5,1,1991,78552,0,1,0
3842,2794,3,1,2019,263332,0,0,1
3843,1972,3,3,1991,243326,0,1,0
3844,2642,3,1,1978,247816,0,1,0
3845,2648,4,2,1998,303507,0,1,0
3846,2885,2,1,1962,332380,0,0,1
3847,1253,5,2,1985,59000,0,1,0
3848,2653,2,2,1989,267891,1,0,0
3849,1709,4,2,1971,168040,0,0,1
3850,2872,3,2,1968,351824,0,0,1
3851,2900,3,3,2015,412564,0,1,0
3852,1562,2,2,1993,152606,0,1,0
3853,1756,2,3,2005,276174,0,1,0
3854,2938,5,3,1972,350479,0,0,1
3855,2449,2,3,1972,240355,0,0,1
3856,1546,5,1,2007,184503,1,0,0
3857,2325,5,2,1994,259824,0,1,0
3858,1921,3,1,1969,256325,0,1,0
3859,1580,2,2,2008,78396,0,1,0
3860,2372,3,3,1962,274069,0,0,1
3861,2855,5,1,1952,384640,0,0,1
3862,2956,3,1,2017,350610,0,0,1
3863,1048,3,3,1997,131916,0,0,1
3864,1916,5,3,2006,245129,0,0,1
3865,2097,4,3,2021,222578,1,0,0
3866,1703,4,1,1953,198183,0,0,1
3867,1260,2,3,1966,176032,0,0,1
3868,1355,3,1,1963,140389,1,0,0
3869,2605,2,2,1970,210421,0,0,1
3870,2625,3,3,2021,208658,1,0,0
3871,2283,2,1,2018,267261,0,1,0
3872,1637,2,3,2003,188448,1,0,0
3873,1742,5,3,2001,250110,0,1,0
3874,2318,4,1,1957,216461,1,0,0
3875,2009,4,1,1987,168430,0,1,0
3876,1930,4,1,1984,256517,1,0,0
3877,1640,5,3,2010,213272,0,1,0
3878,1791,4,2,1999,186789,0,0,1
3879,2336,5,2,2016,257880,1,0,0
3880,1611,3,3,1994,148121,0,0,1
3881,2861,5,3,1969,360769,1,0,0
3882,1808,2,1,1964,205899,0,0,1
3883,2205,2,2,2001,242852,0,1,0
3884,1685,3,2,1992,224795,0,1,0
3885,2851,3,2,1979,276481,0,1,0
3886,2387,2,1,1965,333698,0,0,1
3887,1187,4,2,1975,81644,1,0,0
3888,2592,4,1,2017,272838,0,0,1
3889,2566,4,3,1962,364343,1,0,0
3890,2619,3,1,1960,280160,0,1,0
3891,2687,2,3,2000,274204,1,0,0
3892,1984,5,2,2003,228769,0,1,0
3893,1547,3,3,1973,236681,0,1,0
3894,1724,2,3,1971,161809,0,0,1
3895,1925,4,3,1968,202510,0,0,1
3896,2431,4,1,1981,302009,0,1,0
3897,1875,4,1,1984,194923,0,1,0
3898,1617,2,1,1998,121459,1,0,0
3899,1413,4,3,2001,168104,0,1,0
3900,2365,2,3,1992,208800,1,0,0
3901,2243,3,3,2003,254461,0,0,1
3902,1902,5,2,2009,203243,0,1,0
3903,1162,4,1,1983,135338,0,0,1
3904,2974,3,2,1967,287394,1,0,0
3905,2243,3,2,1987,285548,1,0,0
3906,1269,2,2,2010,156919,0,1,0
3907,1631,3,3,2000,180881,0,1,0
3908,1905,2,1,2017,172504,0,1,0
3909,2871,2,2,1975,281596,1,0,0
3910,2423,3,1,2015,243828,0,0,1
3911,2205,2,1,1970,218187,0,1,0
3912,2641,2,3,2013,319018,0,0,1
3913,2752,2,2,1961,249368,0,1,0
3914,1204,3,3,2018,139409,0,0,1
3915,1581,5,1,2014,180417,1,0,0
3916,2579,2,2,1965,316339,0,1,0
3917,1840,4,1,1955,257196,1,0,0
3918,2836,3,1,2005,325137,1,0,0
3919,2251,3,3,1987,304037,0,0,1
